Id2,ledgerstyle,County,median_age_latest,median_age_moe_latest,median_age_moe_per_latest,median_age_prev,median_age_moe_prev,median_age_moe_per_prev,nj_median_age_latest,nj_median_age_prev,usa_median_age_latest,usa_median_age_prev,median_age_change,nj_median_age_change,usa_median_age_change
3403936690,Kenilworth,Union,40.1,4.1,10.22,41.5,4.1,10.22,37.6,38.3,37.6,36.5,-1.4,-0.7,1.1
3403940350,Linden,Union,38.2,1.5,3.93,39.5,1.5,3.93,37.6,38.3,37.6,36.5,-1.3,-0.7,1.1
3403948510,Mountainside,Union,47.2,2.1,4.45,47.7,2.1,4.45,37.6,38.3,37.6,36.5,-0.5,-0.7,1.1
3403951810,New Providence,Union,39.8,1.1,2.76,39.3,1.1,2.76,37.6,38.3,37.6,36.5,0.5,-0.7,1.1
3403959190,Plainfield,Union,34,0.9,2.65,34.2,0.9,2.65,37.6,38.3,37.6,36.5,-0.2,-0.7,1.1
3403961530,Rahway,Union,38,1.8,4.74,38.6,1.8,4.74,37.6,38.3,37.6,36.5,-0.6,-0.7,1.1
3403964620,Roselle,Union,40.1,1.9,4.74,37.5,1.9,4.74,37.6,38.3,37.6,36.5,2.6,-0.7,1.1
3403964650,Roselle Park,Union,37.6,1.4,3.72,37.5,1.4,3.72,37.6,38.3,37.6,36.5,0.1,-0.7,1.1
3403966060,Scotch Plains,Union,42.1,1.3,3.09,40.5,1.3,3.09,37.6,38.3,37.6,36.5,1.6,-0.7,1.1
3403970020,Springfield,Union,44.4,1.8,4.05,43.2,1.8,4.05,37.6,38.3,37.6,36.5,1.2,-0.7,1.1
3403971430,Summit,Union,40.2,1.3,3.23,37.9,1.3,3.23,37.6,38.3,37.6,36.5,2.3,-0.7,1.1
3403974480,Union,Union,41.9,1,2.39,39.1,1,2.39,37.6,38.3,37.6,36.5,2.8,-0.7,1.1
3403979040,Westfield,Union,41.3,0.9,2.18,40.7,0.9,2.18,37.6,38.3,37.6,36.5,0.6,-0.7,1.1
3403981650,Winfield,Union,42.8,1,2.34,38.1,1,2.34,37.6,38.3,37.6,36.5,4.7,-0.7,1.1
3404100670,Allamuchy,Warren,44.3,2.3,5.19,44,2.3,5.19,37.6,38.3,37.6,36.5,0.3,-0.7,1.1
3404101030,Alpha,Warren,45.5,3,6.59,39.7,3,6.59,37.6,38.3,37.6,36.5,5.8,-0.7,1.1
3404104990,Belvidere,Warren,39.8,2.8,7.04,40.3,2.8,7.04,37.6,38.3,37.6,36.5,-0.5,-0.7,1.1
3404106160,Blairstown,Warren,45.7,2.1,4.6,43.3,2.1,4.6,37.6,38.3,37.6,36.5,2.4,-0.7,1.1
3404124960,Franklin,Warren,46.9,3.4,7.25,43,3.4,7.25,37.6,38.3,37.6,36.5,3.9,-0.7,1.1
3404125320,Frelinghuysen,Warren,47.2,2.9,6.14,42.1,2.9,6.14,37.6,38.3,37.6,36.5,5.1,-0.7,1.1
3404128260,Greenwich,Warren,41.5,1,2.41,35.1,1,2.41,37.6,38.3,37.6,36.5,6.4,-0.7,1.1
3404128710,Hackettstown,Warren,35.8,1.4,3.91,35.4,1.4,3.91,37.6,38.3,37.6,36.5,0.4,-0.7,1.1
3404129820,Hardwick Township,Warren,48.4,2.2,4.55,40.6,2.2,4.55,37.6,38.3,37.6,36.5,7.8,-0.7,1.1
3404130090,Harmony,Warren,45.3,1.6,3.53,43.6,1.6,3.53,37.6,38.3,37.6,36.5,1.7,-0.7,1.1
3404133060,Hope,Warren,47.6,4,8.4,41.2,4,8.4,37.6,38.3,37.6,36.5,6.4,-0.7,1.1
3404133930,Independence,Warren,39.7,3.4,8.56,39.7,3.4,8.56,37.6,38.3,37.6,36.5,0,-0.7,1.1
3404137320,Knowlton Township,Warren,46.9,5,10.66,41.1,5,10.66,37.6,38.3,37.6,36.5,5.8,-0.7,1.1
3404140110,Liberty Township,Warren,42.3,6.6,15.6,39.6,6.6,15.6,37.6,38.3,37.6,36.5,2.7,-0.7,1.1
3404141490,Lopatcong,Warren,41.7,1.3,3.12,42,1.3,3.12,37.6,38.3,37.6,36.5,-0.3,-0.7,1.1
3404143320,Mansfield,Warren,43.8,2.2,5.02,38.1,2.2,5.02,37.6,38.3,37.6,36.5,5.7,-0.7,1.1
3404155530,Oxford,Warren,41.6,1.3,3.13,39.7,1.3,3.13,37.6,38.3,37.6,36.5,1.9,-0.7,1.1
3404158350,Phillipsburg,Warren,39.8,1.7,4.27,36.6,1.7,4.27,37.6,38.3,37.6,36.5,3.2,-0.7,1.1
3404159820,Pohatcong,Warren,38.4,4.4,11.46,41.1,4.4,11.46,37.6,38.3,37.6,36.5,-2.7,-0.7,1.1
3404177270,Washington Borough,Warren,38.9,3.7,9.51,38.8,3.7,9.51,37.6,38.3,37.6,36.5,0.1,-0.7,1.1
3404177300,Washington Township,Warren,46.2,1.3,2.81,43.1,1.3,2.81,37.6,38.3,37.6,36.5,3.1,-0.7,1.1
3404180570,White,Warren,54.8,5.3,9.67,51.4,5.3,9.67,37.6,38.3,37.6,36.5,3.4,-0.7,1.1
