GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
1600000US3439360,3439360,"Laurence Harbor CDP, New Jersey",2634,119,74800,8558,80.8,4.1,73538,3808,8.9,2.2,100707,38178,0.0,1.2,-,**,8.2,3.1,94896,60790,0.0,1.2,-,**,1.3,1.5,95104,39859,0.9,1.1,-,**,6.8,2.9,96098,21702,76.1,4.4,73388,3394,0.5,0.7,-,**,36.9,5.6,78750,38386,49.4,6.2,75156,18366,13.2,3.6,70568,9063,1755,168,83882,22158,47.2,6.8,93542,30478,52.8,6.8,80250,28989,72.3,6.8,90769,23483,17.5,5.9,95086,56754,10.2,5.5,72596,42640,879,174,64755,16799,49.7,14.3,57344,23682,46.2,14.1,56375,27338,3.5,3.0,103173,26560,50.3,14.3,91250,47157,44.4,13.2,85577,44830,5.9,7.2,-,**,31.5,(X),(X),(X),35.7,(X),(X),(X),23.1,(X),(X),(X)
1600000US3439390,3439390,"Lavallette borough, New Jersey",921,97,67813,9267,99.8,0.3,67688,9425,0.0,3.5,-,**,0.0,3.5,-,**,0.0,3.5,-,**,0.0,3.5,-,**,0.0,3.5,-,**,0.2,0.3,-,**,0.0,3.5,-,**,99.8,0.3,67688,9425,0.0,3.5,-,**,5.6,3.3,48214,57239,36.2,6.1,93393,16948,58.2,6.3,58077,6478,638,80,86875,11676,17.6,7.4,88750,56219,82.4,7.4,81458,16277,88.1,4.3,89250,10185,11.1,4.2,41750,47594,0.8,1.2,-,**,283,72,38304,3410,45.6,13.4,46750,12419,40.3,12.6,43333,14576,5.3,5.8,-,**,54.4,13.4,36000,8243,41.3,14.3,30521,6748,13.1,16.4,-,**,25.4,(X),(X),(X),29.6,(X),(X),(X),15.9,(X),(X),(X)
1600000US3439420,3439420,"Lawnside borough, New Jersey",1089,76,55868,8064,2.0,1.7,42083,19714,89.3,4.7,56898,9927,0.8,1.3,-,**,4.1,3.0,66607,27087,0.0,2.9,-,**,3.4,3.6,-,**,0.3,0.6,-,**,4.6,3.8,35625,29260,1.6,1.5,41042,40368,1.5,2.3,-,**,27.1,5.1,42109,9390,36.1,4.6,68958,16824,35.4,4.9,50417,16506,763,47,65145,9495,39.4,8.0,43207,15987,60.6,8.0,72222,13613,54.7,8.2,86620,15421,35.9,8.0,39821,7629,9.4,5.7,48889,36961,326,82,23000,29559,71.2,11.0,17500,8786,66.9,11.8,16739,4372,4.3,4.6,-,**,28.8,11.0,41750,39249,27.3,11.1,42375,47493,1.5,2.3,-,**,46.3,(X),(X),(X),49.7,(X),(X),(X),31.3,(X),(X),(X)
1600000US3439570,3439570,"Lawrenceville CDP, New Jersey",1711,148,94583,24487,92.9,4.1,94259,25302,1.3,1.8,-,**,0.0,1.9,-,**,3.8,3.2,143859,72254,0.0,1.9,-,**,0.8,1.3,-,**,1.1,1.7,-,**,4.2,3.4,187614,102348,89.5,4.7,92206,16144,0.0,1.9,-,**,28.3,6.0,107105,30053,47.2,7.4,94554,29711,24.5,6.0,86458,31238,927,139,126719,19355,35.1,9.3,119632,29878,64.9,9.3,130000,33434,83.8,7.3,140268,24825,11.2,6.4,78065,34839,5.0,3.4,86458,30972,784,158,66154,17405,51.7,15.4,48234,19146,47.2,14.9,46731,18476,4.5,5.1,-,**,48.3,15.4,91691,41455,38.0,12.8,91029,49576,10.3,8.1,125804,86614,18.6,(X),(X),(X),16.7,(X),(X),(X),20.8,(X),(X),(X)
1600000US3439630,3439630,"Lebanon borough, New Jersey",720,53,85552,4213,96.0,2.7,85731,1923,0.0,4.4,-,**,0.0,4.4,-,**,1.9,1.3,126250,133568,0.0,4.4,-,**,0.0,4.4,-,**,2.1,2.4,-,**,4.7,2.4,76250,76606,91.3,3.8,85795,1634,1.1,1.3,-,**,30.3,8.1,110417,34804,46.8,8.6,86185,1689,21.8,4.2,45188,5670,443,70,88011,8699,54.0,9.4,92188,34002,46.0,9.4,86154,14468,80.6,7.0,96635,28713,15.6,6.3,56750,29457,3.8,3.1,88281,41647,277,64,54083,11579,52.3,13.5,45139,5929,51.3,13.5,44643,6018,1.1,1.6,-,**,47.7,13.5,85556,52366,28.2,10.3,50833,12091,19.5,18.2,"250,000+",***,16.8,(X),(X),(X),21.2,(X),(X),(X),8.7,(X),(X),(X)
1600000US3439883,3439883,"Leisure Knoll CDP, New Jersey",1485,152,44688,7994,97.6,2.1,44286,8231,1.4,1.7,-,**,0.0,2.2,-,**,0.0,2.2,-,**,0.0,2.2,-,**,0.4,0.8,-,**,0.5,0.9,-,**,3.8,3.1,57708,120034,94.2,3.6,43705,8012,0.0,2.2,-,**,0.0,2.2,-,**,13.9,5.1,60833,54713,86.1,5.1,42431,8280,684,152,73226,3904,0.0,4.6,-,**,100.0,4.6,73226,3904,93.4,5.4,74133,4351,6.6,5.4,46838,35612,0.0,4.6,-,**,801,170,32105,2486,79.3,7.6,30809,2701,76.0,7.9,30614,3646,3.2,5.1,-,**,20.7,7.6,40750,4827,17.6,6.6,39716,5014,3.1,3.1,48646,10835,31.6,(X),(X),(X),30.0,(X),(X),(X),33.0,(X),(X),(X)
1600000US3439885,3439885,"Leisuretowne CDP, New Jersey",2090,151,36895,6108,94.8,2.7,34784,6280,2.7,2.2,39485,12499,0.5,0.8,-,**,0.0,1.5,-,**,0.0,1.5,-,**,0.0,1.5,-,**,2.0,1.7,-,**,1.0,1.1,-,**,93.8,2.8,34830,6289,0.0,1.5,-,**,1.0,1.7,-,**,27.7,6.5,56912,11526,71.3,6.5,32390,4511,1093,122,55337,4348,6.8,3.5,-,**,93.2,3.5,55041,5895,82.2,5.4,54327,6120,10.3,6.2,67614,73216,7.5,6.1,-,**,997,185,26025,1054,71.5,9.4,24307,2099,71.5,9.4,24307,2099,0.0,3.2,-,**,28.5,9.4,36324,17927,23.3,9.5,29615,12546,5.2,5.0,99342,19715,22.4,(X),(X),(X),34.7,(X),(X),(X),9.0,(X),(X),(X)
1600000US3439900,3439900,"Leisure Village CDP, New Jersey",2531,182,31301,2345,91.6,4.6,31519,2351,5.6,4.1,9323,30027,1.5,1.4,34028,113903,0.0,1.3,-,**,0.0,1.3,-,**,1.0,1.3,-,**,0.3,0.7,-,**,14.5,6.2,22250,38282,79.3,6.8,31788,2120,0.6,0.9,-,**,9.8,4.1,30526,22221,21.6,3.3,34896,10857,68.1,4.9,29411,4915,881,160,44387,6700,15.1,6.1,45519,34157,84.9,6.1,43725,7073,64.7,14.2,46727,3018,30.9,13.0,34338,6995,4.4,4.3,29450,38039,1650,245,24950,2882,71.5,7.2,24648,2467,67.9,7.2,24371,2210,3.5,2.9,52813,49799,28.5,7.2,26281,6885,28.5,7.2,26281,6885,0.0,1.9,-,**,34.0,(X),(X),(X),43.0,(X),(X),(X),29.2,(X),(X),(X)
1600000US3439910,3439910,"Leisure Village East CDP, New Jersey",2522,181,37146,3969,98.4,1.5,37240,3944,1.6,1.5,24135,33086,0.0,1.3,-,**,0.0,1.3,-,**,0.0,1.3,-,**,0.0,1.3,-,**,0.0,1.3,-,**,2.0,1.9,-,**,96.9,1.8,37647,4018,0.0,1.3,-,**,0.0,1.3,-,**,15.2,5.3,28516,33969,84.8,5.3,37344,3738,972,138,56065,12151,1.6,2.7,-,**,98.4,2.7,55694,13217,91.8,5.8,56157,11305,8.2,5.8,42143,130017,0.0,3.3,-,**,1550,203,26483,3695,75.7,7.5,25930,4057,68.7,8.4,23594,5961,7.0,6.1,37862,22593,24.3,7.5,29259,11863,23.5,7.4,28750,10902,0.7,1.2,-,**,22.6,(X),(X),(X),25.6,(X),(X),(X),20.6,(X),(X),(X)
1600000US3439916,3439916,"Leisure Village West CDP, New Jersey",2333,181,35221,4437,99.1,1.0,35000,4676,0.9,1.0,-,**,0.0,1.4,-,**,0.0,1.4,-,**,0.0,1.4,-,**,0.0,1.4,-,**,0.0,1.4,-,**,1.9,1.7,63125,39505,97.2,1.6,34637,4902,0.0,1.4,-,**,0.4,0.7,-,**,15.1,5.1,49219,26194,84.5,5.2,33701,5110,805,140,54316,4915,0.0,4.0,-,**,100.0,4.0,54316,4915,77.3,8.6,55104,7079,18.8,8.2,55083,26645,4.0,4.5,-,**,1528,186,25327,2503,72.9,6.7,24599,2313,71.4,6.9,24628,2317,1.5,1.7,-,**,27.1,6.7,29464,12548,24.6,6.5,33333,18700,2.5,2.4,29196,21785,28.1,(X),(X),(X),24.6,(X),(X),(X),29.9,(X),(X),(X)
